,GW,Team_name,Players in,Players out,Immediate gain
0,8,Priedes,"Ødegaard, Gordon, Paquetá, Zaha, Bailey, Mings, Alexander-Arnold, Perišić, Saint-Maximin, Alexander-Arnold, Bowen, Zaha, Cucurella, Fofana, Coufal, Fofana, Gordon, Kane, Mitrović, Maddison, Foden, N.Williams, Perišić, Trippier, Pope","Paquetá, Zaha, Bailey, Saint-Maximin, Gordon, Coufal, Perišić, Alexander-Arnold, Bowen, Cucurella, Zaha, Foden, Fofana, N.Williams, Fofana, Perišić, Bailey, Archer, Jesus, Salah, Groß, Estupiñán, Alexander-Arnold, Robertson, Ederson",27
1,8,FC Bohemian,"Pope, N.Williams, Toney, Malacia, Ward, Paquetá, Ødegaard, Son, Andreas, Cancelo, De Gea","De Gea, Guilbert, Dervişoğlu, White, Dennis, Salah, Martinelli, Neto, Foden, Alexander-Arnold, Mendy",22
2,8,tikai w,"Gordon, Pope, Vestergaard, Burn, Perišić, Kane, Walcott, De Bruyne","Groß, Henderson, Cucurella, James, Alexander-Arnold, Greenwood, Zaha, Salah",30
3,8,RR,,,0
4,8,Vallhallas ultras,Pope,Sá,0
5,8,MANA,"Perišić, Trippier","James, Alexander-Arnold",3
6,8,archas XI,"Bernardo, Saka, Kane, Ødegaard, Ward, Pope, Trippier","Groß, Neto, Toney, Salah, Mendy, Alisson, James",29
7,8,FC Waggishkin,,,0
8,8,Jauniesi FC,,,0
9,8,Eminent Fidelity,,,0
10,8,Futbols vispirms!,Ødegaard,Martinelli,-3
11,8,Stīvie,,,0
0,9,Priedes,,,0
1,9,RR,"Trossard, Mac Allister","Rodrigo, Ødegaard",18
2,9,FC Bohemian,,,0
3,9,MANA,"Justin, Begović, Pickford, Guéhi, James, Toney, Dier, Iversen, Isak, Zaha, Maddison, De Bruyne, Pope","N.Williams, Iversen, Pope, Saliba, Dier, Isak, Perišić, Ward, Jesus, S.Longstaff, Gündogan, Salah, Raya",13
4,9,tikai w,"Barnes, N.Williams","Groß, Cucurella",1
5,9,Vallhallas ultras,"Tielemans, Toney","Bernardo, Isak",-1
6,9,FC Waggishkin,,,0
7,9,Jauniesi FC,,,0
8,9,Futbols vispirms!,"Martinelli, Undav","Ødegaard, Edouard",-3
9,9,archas XI,Trippier,R.Sessegnon,6
10,9,Eminent Fidelity,,,0
11,9,Stīvie,"Edouard, Ramsey","Archer, Rodrigo",6
0,10,Priedes,"Reed, Zaha","Gordon, Ødegaard",1
1,10,FC Bohemian,,,0
2,10,MANA,,,0
3,10,RR,Trippier,Alexander-Arnold,7
4,10,Vallhallas ultras,"Konsa, Maddison, Wilson","Martínez, Tielemans, Toney",-10
5,10,tikai w,"De Bruyne, Emerson, Luis Díaz","Andreas, Alexander-Arnold, Salah",-6
6,10,Futbols vispirms!,Groß,Rodrigo,0
7,10,archas XI,Trossard,Groß,0
8,10,FC Waggishkin,"Antony, Aubameyang, Foden, Gabriel","Gündogan, Greenwood, Salah, Walker",10
9,10,Jauniesi FC,"Zaha, James","Eze, Robertson",-4
10,10,Eminent Fidelity,,,0
11,10,Stīvie,Trossard,Sterling,2
